family,instrument,band_index,energy_w_buildup,energy_w_decay,energy_w_residue,energy_w_shimmer,energy_w_strike,f_centre_hz,f_hi_hz,f_lo_hz,modes_per_band
plate,cymbal_46cm_medium,6,0.0,,0.0,0.0,0.0,271.33552007714667,299.62531408868983,245.71677022503872,0.0
plate,cymbal_46cm_medium,7,0.001895752304588254,,0.06854161043678779,0.015242233026458475,0.0024850779325085604,328.2721301869142,359.65783393574134,299.62531408868983,2.0
plate,cymbal_46cm_medium,8,0.0028331734751460666,,0.08644901890168447,0.02182262609543069,0.0037260017810765455,391.6601411572962,426.51000950742576,359.65783393574134,3.0
plate,cymbal_46cm_medium,9,0.0028218962135330337,,0.0716467748049862,0.02074855870493968,0.0037242527712400574,462.2369334140603,500.9565493170786,426.51000950742576,3.0
plate,cymbal_46cm_medium,10,0.002809746865984797,,0.05843723491438001,0.01964303603021313,0.0037223557955070007,540.822128965883,583.8601682679283,500.9565493170786,3.0
plate,cymbal_46cm_medium,11,0.003729045191207308,,0.062440056946605274,0.024679604799210303,0.0049603943708288354,628.3275372521083,676.1815851225036,583.8601682679283,4.0
plate,cymbal_46cm_medium,12,0.003711271450953821,,0.049075888924258564,0.023140672934693487,0.0049574086268136435,725.7679631618286,778.9906556781491,676.1815851225036,4.0
plate,cymbal_46cm_medium,13,0.003695099754239748,,0.037757726932078545,0.021592279985547684,0.004954160386323515,834.2731048009164,893.4787706641346,778.9906556781491,4.0
plate,cymbal_46cm_medium,14,0.008293962224734221,,0.06384815269850178,0.04515797752944916,0.011138904497327856,955.1007271246142,1020.9726620319176,893.4787706641346,9.0
plate,cymbal_46cm_medium,15,0.0036973929576584567,,0.02078529368835785,0.018638186395533086,0.004946772504154038,1089.651288384257,1162.94977763112,1020.9726620319176,4.0
plate,cymbal_46cm_medium,16,0.004691395740901194,,0.01850141056264899,0.021742697773713678,0.006178218987314926,1239.484201797112,1321.055402438827,1162.94977763112,5.0
plate,cymbal_46cm_medium,17,0.0077856694784558715,,0.02043762388924458,0.03292198052424446,0.009875999162579438,1406.3359280729921,1497.1217247495472,1321.055402438827,8.0
plate,cymbal_46cm_medium,18,0.004169243723846522,,0.006819966209952395,0.015950774447272782,0.004933010084770451,1592.1401126215692,1693.1890682721116,1497.1217247495472,4.0
